бязь,"агъ (ди, ар)"
побродить,"аруцас (аруцай, аруцуна, аруц, аруцуб, маруца)"
погулять,"аруцас (аруцай, аруцуна, аруц, аруцуб, маруца)"
прогуляться,"аруцас (аруцай, аруцуна, аруц, аруцуб, маруца)"
прохаживаться,"аруцас (аруцай, аруцуна, аруц, аруцуб, маруца)"
"попадать (куда-л, во что-л)","архьас (архьай, архьуна, -, архьуб, -)"
"попасть (куда-л, во что-л)","архьас (архьай, архьуна, -, архьуб, -)"
постричь,"архIас (архIай, архIуна, архI, архIуб, мархIа)"
позволить,"атас (артай, атуна, ате, атуб, амарта)"
позволять,"атас (артай, атуна, ате, атуб, амарта)"
появиться (внезапно),аттархьас
появляться (внезапно),аттархьас
переписать,"аттликIенас (аттлиркIенди, аттликIен, аттликIина, аттликIиб, аттмалиркIена)"
переписывать,"аттликIенас (аттлиркIенди, аттликIен, аттликIина, аттликIиб, аттмалиркIена)"
порезать (ся),"атIас (артIай, атIуна, атI, атIуб, амартIа)"
порубить,"атIас (артIай, атIуна, атI, атIуб, амартIа)"
порез,"атIуб (а, ар)"
проверить,ахттармиш акьас
проверять,ахттармиш акьас
позволение,"ахттигьар (ди, ар)"
полномочие,"ахттигьар (ди, ар)"
право,"ахттигьар (ди, ар)"
постель,ахун лехIеф
право,аххтигьар
посыпать (ся),"ахъас (архъай, ахъуна, ахъ, ахъуб, амархъа)"
погнаться,"ахъихьас (ахъихьай, ахъихьуна, ахъихь, ахъихьуб, ахъимихьа)"
погоня,"ахъихьуб (а, ар)"
подождать,"ахъутIанас (ахъуртIанди, ахъутIуна, ахъутIен, ахъутIуб, ахъумартIа)"
прилечь,"ахъухьас (ахъухьай, ахъухьуна, ахъухь, ахъухьуб, ахъумихьа)"
пополниться,"ацIас (арцIай, ацIуна, ацI, ацIуб, марцIа)"
пополняться,"ацIас (арцIай, ацIуна, ацI, ацIуб, марцIа)"
пополнить,ацIас акьас
пополнять,ацIас акьас
полнота,ацIувел
полный,ацIуф
потонувший,ачадивуф
потратить,"ачатас (ачартай, ачатуна, ачат, ачатуб, ачмарта)"
посадить (пож стражу),"ачикас (ачикай, ачикуна, ачик, ачикуб, мачика)"
посаженный (под стражу),ачикуф
подмышка,ачIан уркI
плов,"аш (уни, ар)"
повар,ашбаз
проиграть,бахъу хьас
проигрывать,бахъу хьас
проигравший,бахъу хьеф
позавтракать,багамар акьас
позавтракать,багаминттар акьас
поблизости,багулив
подле,багулив
повод,багьана
причина,багьана
придурковатый,багIвай
придурок,багIвай
придурковато,багIвайди
пятно (на лбу животного),бакIай
плотина,банд
папаха,"бармак (и, ар)"
починить,батIар акьас
похорошеть,батIар хьас
посвятить,бахш акьас
посвящать,бахш акьас
посвященный,бахш акьуф
палас (ковер),"берхел (и, ар)"
паласник,берхеч
платье,"берхIем (и, ар)"
противостояние,бехIс
птичка,бицIи джакьв
полоска,бицIи тал
пар,"бугъ (у, -)"
пчела,варв
побеждать,варттал хьас
подъем,вартткIил
поехать,"вес (вей, ушуна, ях, ушуб, мева)"
пойти,"вес (вей, ушуна, ях, ушуб, мева)"
пора,гагь
пастбище (зимнее),"гал (у, ар)"
подзатыльник,гваджахъ хъирхIуб
потеряться,"гуланас (гуланди, гулуна, гулан, гулуб, магулана)"
потерять,гуланас акьас
пуля,гулла
потеря,гулуб
потерявшийся,гулуф
потерянный,гулуф
пугаться,гучI хьас
понимание,"гъавур (ди, -)"
понимать,гъавурди архьас
познавать,гъавурди архьас
познать,гъавурди архьас
понять,гъавурди архьас
постигать,гъавурди архьас
постигнуть,гъавурди архьас
постичь,гъавурди архьас
понятный,гъавурди архьуф
перевернуть,"гъадаркас (гъадаркай, гъадаркуна, гъадарк, гъадаркуб, гъадамарка)"
переворачивать,"гъадаркас (гъадаркай, гъадаркуна, гъадарк, гъадаркуб, гъадамарка)"
поднимать,"гъадивас (гъадивай, гъадивуна, гъадив, гъадивуб, гъадимива)"
поднять,"гъадивас (гъадивай, гъадивуна, гъадив, гъадивуб, гъадимива)"
подбирать,"гъадирхIас (гъадирхIай, гъадирхIуна, гъадирхI, гъадирхIуб, гъадмирахIа)"
подобрать,"гъадирхIас (гъадирхIай, гъадирхIуна, гъадирхI, гъадирхIуб, гъадмирахIа)"
подниматься (с места),"гъайшас (гъайшай, гъайшина, гъайш, гъайшиб, гъамайша)"
подняться (с места),"гъайшас (гъайшай, гъайшина, гъайш, гъайшиб, гъамайша)"
печаль,гъам (уни: ар)
провезти,гъас
провести,гъас
